Date,Open,High,Low,Close,Adj Close,Volume
2023-04-14,217.88,222.11,217.55,221.49,221.49,21591200
2023-04-17,219.79,220.98,217.13,218.86,218.86,15481900
2023-04-18,219.91,220.44,216.21,217.89,217.89,12281000
2023-04-19,213.47,217.33,212.93,215.7,215.7,15898100
2023-04-20,213.48,216.75,212.77,213.07,213.07,16475400
2023-04-21,210.21,213.41,209.58,212.89,212.89,17717200
2023-04-24,213.68,213.92,210.71,212.79,212.79,15750900
2023-04-25,210.82,211.26,207.13,207.55,207.55,19198200
2023-04-26,212.5,214.11,208.88,209.4,209.4,41992700
2023-04-27,239.89,241.69,236.77,238.56,238.56,71196500
2023-04-28,239.01,240.43,235.75,240.32,240.32,39554000
2023-05-01,238.62,244.0,236.46,243.18,243.18,29143900
2023-05-02,243.18,244.92,238.99,239.24,239.24,24350100
2023-05-03,239.47,241.75,232.75,237.03,237.03,34463900
2023-05-04,236.06,238.2,232.93,233.52,233.52,17889400
2023-05-05,232.24,234.68,229.85,232.78,232.78,26978900
2023-05-08,231.42,235.62,230.27,233.27,233.27,16400500
2023-05-09,231.46,235.88,231.08,233.37,233.37,16865600
2023-05-10,236.17,236.75,230.72,233.08,233.08,19119000
2023-05-11,233.05,238.21,232.3,235.79,235.79,20449000
2023-05-12,236.74,236.96,231.45,233.81,233.81,16155300
2023-05-15,236.92,240.26,235.33,238.86,238.86,20653200
2023-05-16,235.79,239.64,235.52,238.82,238.82,18163800
2023-05-17,238.45,243.84,238.14,242.49,242.49,21193100
2023-05-18,241.3,247.09,241.19,246.85,246.85,22943300
2023-05-19,247.47,248.69,243.41,245.64,245.64,21599800
